Input_Size,Exec_Time
10,0.0001063
20,0.0002401
30,0.0001018
40,0.0003392
50,0.0001424
60,0.0001287
70,0.0002614
80,0.0002244
90,0.0002521
100,0.0002004
200,0.0002041
300,0.0003437
400,0.0002769
500,0.0003084
600,0.0003993
700,0.0009455
800,0.0013596
900,0.0004304
1000,0.0004238
2000,0.0017324
3000,0.0026636
4000,0.0020606
5000,0.0026741
6000,0.0024341
7000,0.0030853
8000,0.0038023
9000,0.00488
10000,0.0041911
20000,0.0100373
30000,0.0158074
40000,0.02293
50000,0.0243656
60000,0.0301784
70000,0.0362001
80000,0.0370907
90000,0.0377235
100000,0.0447635
200000,0.0892396
300000,0.157366
400000,0.18786
500000,0.254919
600000,0.308015
700000,0.306771
800000,0.345709
900000,0.430428
1000000,0.501078
2000000,0.99447
3000000,1.29227
4000000,1.99984
5000000,2.43884
6000000,2.6071
7000000,3.2436
8000000,4.0328
9000000,4.4996
10000000,4.86163
