Input_Size,Exec_Time
10,6e-06
20,7.5e-06
30,9.4e-06
40,1.18e-05
50,1.51e-05
60,2.27e-05
70,1.97e-05
80,2.15e-05
90,2.54e-05
100,2.74e-05
200,5.68e-05
300,0.0001068
400,0.000111
500,0.0001933
600,0.0001902
700,0.0004239
800,0.0002286
900,0.0002582
1000,0.0003437
2000,0.0012157
3000,0.0010155
4000,0.0012464
5000,0.0020752
6000,0.001885
7000,0.002425
8000,0.0026863
9000,0.0030012
10000,0.0033091
20000,0.0067996
30000,0.0108909
40000,0.0136896
50000,0.0179621
60000,0.0223665
70000,0.024257
80000,0.0302453
90000,0.0318961
100000,0.0365969
200000,0.0718606
300000,0.109928
400000,0.145888
500000,0.182047
600000,0.224314
700000,0.259261
800000,0.293197
900000,0.334482
1000000,0.373406
2000000,0.747029
3000000,1.14177
4000000,1.5192
5000000,1.91414
6000000,2.28994
7000000,2.6919
8000000,3.07855
9000000,3.48907
10000000,3.89202
